sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,Meal,meal
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:25:00 +0000,2024-01-20 19:25:00 +0000,mg,1420.9005737304688,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,mg,380.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,mg,25.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:15:00 +0000,2024-01-24 17:15:00 +0000,mg,425.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:16:00 +0000,2024-01-24 17:16:00 +0000,mg,819.9004364013672,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:19:00 +0000,2024-01-24 22:19:00 +0000,mg,77.30460166931152,Dinner,Dinner
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:20:00 +0000,2024-01-24 22:20:00 +0000,mg,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:39:00 +0000,2024-01-25 16:39:00 +0000,mg,459.2760467529297,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:41:00 +0000,2024-01-25 16:41:00 +0000,mg,80.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:44:00 +0000,2024-01-25 16:44:00 +0000,mg,469.99999999999994,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48368,"iPhone11,8",,2024-01-26 01:53:00 +0000,2024-01-26 01:53:00 +0000,mg,0.0,Dinner,Dinner
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,mg,324.00001525878906,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,mg,123.99999618530273,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:25:00 +0000,2024-02-11 02:25:00 +0000,mg,680.6089782714844,Dinner,Dinner
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:26:00 +0000,2024-02-11 02:26:00 +0000,mg,80.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,mg,123.99999618530273,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,mg,160.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:53:00 +0000,2024-02-13 20:53:00 +0000,mg,597.9999923706054,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:48:00 +0000,2024-02-14 21:48:00 +0000,mg,90.9999942779541,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,mg,0.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,mg,1460.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,mg,1460.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryCalcium,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,mg,1048.1999969482422,Dinner,Dinner
