sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,meal,Meal
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:25:00 +0000,2024-01-20 19:25:00 +0000,g,4.998922824859619,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,g,0.25,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:15:00 +0000,2024-01-24 17:15:00 +0000,g,0.25,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:16:00 +0000,2024-01-24 17:16:00 +0000,g,0.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:19:00 +0000,2024-01-24 22:19:00 +0000,g,2.1345999240875244,Dinner,Dinner
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:20:00 +0000,2024-01-24 22:20:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:39:00 +0000,2024-01-25 16:39:00 +0000,g,1.5839998722076416,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:41:00 +0000,2024-01-25 16:41:00 +0000,g,6.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:44:00 +0000,2024-01-25 16:44:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48368,"iPhone11,8",,2024-01-26 01:53:00 +0000,2024-01-26 01:53:00 +0000,g,0.0,Dinner,Dinner
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,g,0.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,g,0.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:25:00 +0000,2024-02-11 02:25:00 +0000,g,0.30000001192092896,Dinner,Dinner
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:26:00 +0000,2024-02-11 02:26:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,g,0.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,g,0.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:53:00 +0000,2024-02-13 20:53:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:48:00 +0000,2024-02-14 21:48:00 +0000,g,3.31499981880188,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,g,0.0,Lunch,Lunch
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,g,0.0,Snacks,Snacks
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,g,0.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietaryFatMonounsaturated,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,g,5.644200325012207,Dinner,Dinner
