sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,Meal,meal
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:25:00 +0000,2024-01-20 19:25:00 +0000,g,56.54336929321289,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,g,45.5,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-20 19:27:00 +0000,2024-01-20 19:27:00 +0000,g,0.125,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:15:00 +0000,2024-01-24 17:15:00 +0000,g,9.125,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 17:16:00 +0000,2024-01-24 17:16:00 +0000,g,28.995019912719727,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:19:00 +0000,2024-01-24 22:19:00 +0000,g,8.008999824523926,Dinner,Dinner
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-24 22:20:00 +0000,2024-01-24 22:20:00 +0000,g,34.0,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:39:00 +0000,2024-01-25 16:39:00 +0000,g,21.229459762573242,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:41:00 +0000,2024-01-25 16:41:00 +0000,g,6.0,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-25 16:44:00 +0000,2024-01-25 16:44:00 +0000,g,21.0,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48368,"iPhone11,8",,2024-01-26 01:53:00 +0000,2024-01-26 01:53:00 +0000,g,0.0,Dinner,Dinner
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,g,13.25,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:24:00 +0000,2024-02-11 02:24:00 +0000,g,22.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:25:00 +0000,2024-02-11 02:25:00 +0000,g,13.162179946899414,Dinner,Dinner
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-11 02:26:00 +0000,2024-02-11 02:26:00 +0000,g,3.0,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,g,22.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:52:00 +0000,2024-02-13 20:52:00 +0000,g,10.0,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-13 20:53:00 +0000,2024-02-13 20:53:00 +0000,g,23.0,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:48:00 +0000,2024-02-14 21:48:00 +0000,g,63.06800079345703,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,g,1.399999976158142,Lunch,Lunch
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,48940,"iPhone11,8",,2024-02-14 21:50:00 +0000,2024-02-14 21:50:00 +0000,g,4.0,Snacks,Snacks
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,g,4.0,Breakfast,Breakfast
HKQuantityTypeIdentifierDietarySugar,MyFitnessPal,49496,"iPhone11,8",,2024-03-21 12:25:00 +0000,2024-03-21 12:25:00 +0000,g,19.4060001373291,Dinner,Dinner
