sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:11:09 +0000,2022-03-15 01:13:51 +0000,mi,0.03395716987165564,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:668999469.25051:668999631.00010:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:13:51 +0000,2022-03-15 01:16:23 +0000,mi,0.03089132606797569,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:668999631.00010:668999783.00053:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:16:23 +0000,2022-03-15 01:19:16 +0000,mi,0.025548939555945397,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:668999783.00053:668999956.00096:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:19:16 +0000,2022-03-15 01:22:03 +0000,mi,0.02782125834142417,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:668999956.00096:669000123.00019:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:22:03 +0000,2022-03-15 01:24:26 +0000,mi,0.04140098094692183,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000123.00019:669000266.00015:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:24:26 +0000,2022-03-15 01:27:12 +0000,mi,0.05076063050181542,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000266.00015:669000432.00011:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:27:12 +0000,2022-03-15 01:29:52 +0000,mi,0.04036348522174736,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000432.00011:669000592.00045:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:29:52 +0000,2022-03-15 01:32:35 +0000,mi,0.034278092564480875,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000592.00045:669000754.99980:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:32:36 +0000,2022-03-15 01:35:03 +0000,mi,0.039294444881803836,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000755.99980:669000902.99993:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:35:03 +0000,2022-03-15 01:37:35 +0000,mi,0.03903039607915465,3:644554E4-C90F-4F3B-94F5-AE1D7CFD8A29:669000902.99993:669001054.99998:119,1
