sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 15:14:17 +0000,2022-03-08 15:44:07 +0000,dBASPL,66.32890375641537
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 15:44:07 +0000,2022-03-08 16:13:57 +0000,dBASPL,60.28363443595683
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 16:13:57 +0000,2022-03-08 16:43:57 +0000,dBASPL,66.06758908713002
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 16:43:57 +0000,2022-03-08 17:13:47 +0000,dBASPL,64.46595239967841
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 17:13:47 +0000,2022-03-08 17:43:47 +0000,dBASPL,68.32065802188768
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 17:43:47 +0000,2022-03-08 18:13:37 +0000,dBASPL,66.74026726635849
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 18:13:37 +0000,2022-03-08 18:43:37 +0000,dBASPL,54.95165077936222
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 18:43:37 +0000,2022-03-08 19:13:27 +0000,dBASPL,57.70482949019922
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 19:13:27 +0000,2022-03-08 19:43:27 +0000,dBASPL,64.29875289900212
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 19:43:27 +0000,2022-03-08 20:13:17 +0000,dBASPL,65.91475529218134
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 20:13:17 +0000,2022-03-08 20:43:07 +0000,dBASPL,62.15897779606844
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 20:43:07 +0000,2022-03-08 21:13:07 +0000,dBASPL,62.94897130391598
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 21:13:07 +0000,2022-03-08 21:43:07 +0000,dBASPL,60.17753643526372
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 21:43:07 +0000,2022-03-08 22:12:57 +0000,dBASPL,71.57916874643938
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 22:12:57 +0000,2022-03-08 22:34:47 +0000,dBASPL,66.67430691905899
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-09 14:43:05 +0000,2022-03-09 15:13:05 +0000,dBASPL,55.66449802224532
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-09 15:13:05 +0000,2022-03-09 15:42:55 +0000,dBASPL,57.49306856208634
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-09 15:42:55 +0000,2022-03-09 15:55:35 +0000,dBASPL,58.10716817225416
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-11 22:07:24 +0000,2022-03-11 22:09:24 +0000,dBASPL,47.856227583214626
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-12 00:01:00 +0000,2022-03-12 00:30:50 +0000,dBASPL,65.21218605982476
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-12 00:30:50 +0000,2022-03-12 01:00:50 +0000,dBASPL,66.89228675332092
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283caca50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-12 01:00:50 +0000,2022-03-12 01:30:40 +0000,dBASPL,53.2810191899067
