sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeyBarometricPressure
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-07 20:26:34 +0000,2022-03-07 20:26:34 +0000,%,0.97,98.8663 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-07 23:43:43 +0000,2022-03-07 23:43:43 +0000,%,0.94,98.685 kPa
HKQuantityTypeIdentifierOxygenSaturation,Blood Oxygen,1,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 00:13:06 +0000,2022-03-08 00:13:06 +0000,%,0.95,98.7601 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 00:47:37 +0000,2022-03-08 00:47:37 +0000,%,0.94,98.7646 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-08 01:20:53 +0000,2022-03-08 01:20:53 +0000,%,0.99,98.7587 kPa
HKQuantityTypeIdentifierOxygenSaturation,Blood Oxygen,1,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-15 01:26:32 +0000,2022-09-15 01:26:32 +0000,%,0.89,101.555 kPa
HKQuantityTypeIdentifierOxygenSaturation,Blood Oxygen,1,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-15 01:27:11 +0000,2022-09-15 01:27:11 +0000,%,0.93,101.562 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-15 01:28:49 +0000,2022-09-15 01:28:49 +0000,%,0.87,101.558 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-15 11:28:54 +0000,2022-09-15 11:28:54 +0000,%,0.99,101.852 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-19 20:49:08 +0000,2022-09-19 20:49:08 +0000,%,0.94,100.916 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 20:35:18 +0000,2022-09-21 20:35:18 +0000,%,0.96,100.861 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 23:56:55 +0000,2022-09-21 23:56:55 +0000,%,0.99,100.807 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-25 19:14:20 +0000,2022-09-25 19:14:20 +0000,%,1.0,98.8833 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-10-15 11:54:43 +0000,2022-10-15 11:54:43 +0000,%,0.98,101.541 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-11-07 22:31:32 +0000,2022-11-07 22:31:32 +0000,%,0.94,102.265 kPa
HKQuantityTypeIdentifierOxygenSaturation,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cbfbb0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-11-07 23:22:58 +0000,2022-11-07 23:22:58 +0000,%,0.96,102.191 kPa
