sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-07 21:35:37 +0000,2022-03-07 21:35:45 +0000,ft/s,1.118586366883726
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-08 17:24:07 +0000,2022-03-08 17:24:11 +0000,ft/s,1.584011230255988
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-13 15:53:50 +0000,2022-03-13 15:53:59 +0000,ft/s,1.0429833113677858
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-13 17:40:22 +0000,2022-03-13 17:40:30 +0000,ft/s,1.1274439534490188
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-14 15:56:26 +0000,2022-03-14 15:56:33 +0000,ft/s,1.1491175164075036
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-14 20:23:16 +0000,2022-03-14 20:23:21 +0000,ft/s,1.766301124427575
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-14 21:42:20 +0000,2022-03-14 21:42:28 +0000,ft/s,1.1380926126570212
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-15 16:05:12 +0000,2022-03-15 16:05:17 +0000,ft/s,1.8551312093659649
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-15 18:46:40 +0000,2022-03-15 18:46:45 +0000,ft/s,1.131692153262341
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-15 18:52:17 +0000,2022-03-15 18:52:23 +0000,ft/s,2.0084766734616335
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-15 19:21:20 +0000,2022-03-15 19:21:29 +0000,ft/s,1.1489281230398363
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-15 21:48:58 +0000,2022-03-15 21:49:02 +0000,ft/s,2.1301618632994925
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-16 01:00:51 +0000,2022-03-16 01:00:55 +0000,ft/s,0.8552243781527822
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-16 02:08:09 +0000,2022-03-16 02:08:17 +0000,ft/s,1.047860019476082
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-16 19:00:03 +0000,2022-03-16 19:00:08 +0000,ft/s,1.3776875426137227
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-17 01:24:41 +0000,2022-03-17 01:24:45 +0000,ft/s,0.7393428190486637
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-17 02:07:32 +0000,2022-03-17 02:07:37 +0000,ft/s,1.8954277038574219
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-17 21:07:01 +0000,2022-03-17 21:07:10 +0000,ft/s,1.0728836059570312
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-17 21:07:25 +0000,2022-03-17 21:07:31 +0000,ft/s,1.2383027261323503
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-18 13:58:00 +0000,2022-03-18 13:58:04 +0000,ft/s,1.487861096546093
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-18 13:58:13 +0000,2022-03-18 13:58:18 +0000,ft/s,1.749596570733338
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-03-18 14:13:44 +0000,2022-03-18 14:13:49 +0000,ft/s,1.1076006715691933
HKQuantityTypeIdentifierStairDescentSpeed,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-05-23 16:00:48 +0000,2022-05-23 16:00:52 +0000,ft/s,2.0192500956728074
