sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKVO2MaxTestType,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-08-26 21:51:37 +0000,2022-08-26 21:51:37 +0000,mL/min·kg,54.91,7B98718D-E348-41AD-8597-36A419B8A0EF,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-08-31 21:32:55 +0000,2022-08-31 21:32:55 +0000,mL/min·kg,55.94,0CADCC2A-889D-4A23-AC46-C00BF214FDC3,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-03 14:47:21 +0000,2022-09-03 14:47:21 +0000,mL/min·kg,56.33,1E80FC60-C365-4EA9-8336-2C156D62D593,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-03 15:54:16 +0000,2022-09-03 15:54:16 +0000,mL/min·kg,56.28,34E9D648-F368-4252-8409-514BD4BC9EE5,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-14 21:22:53 +0000,2022-09-14 21:22:53 +0000,mL/min·kg,55.09,9E2955C7-C509-48BC-A34A-D33D31343168,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-14 21:37:33 +0000,2022-09-14 21:37:33 +0000,mL/min·kg,55.11,F61B99B6-C840-4887-B8D7-C920C750F216,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-21 21:03:13 +0000,2022-09-21 21:03:13 +0000,mL/min·kg,55.49,7AC1D49C-EAB3-46F5-BFAE-4B5E526C5C9B,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-21 21:21:33 +0000,2022-09-21 21:21:33 +0000,mL/min·kg,55.61,583FD089-F82E-4EE0-B218-C71569F9E9F3,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-21 21:50:33 +0000,2022-09-21 21:50:33 +0000,mL/min·kg,55.69,E90B38C1-F53E-4629-B5ED-710DCD674911,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-09-25 15:58:43 +0000,2022-09-25 15:58:43 +0000,mL/min·kg,55.85,8EBD33A1-48FD-44F5-8B02-A1DF894ED965,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-10-15 12:43:43 +0000,2022-10-15 12:43:43 +0000,mL/min·kg,56.04,E7DC6838-E37B-46BC-B54F-B578857B136F,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-10-15 15:31:40 +0000,2022-10-15 15:31:40 +0000,mL/min·kg,56.23,A93396A5-B9C9-4A18-919B-A9B4C8DEF3CE,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-10-15 16:18:12 +0000,2022-10-15 16:18:12 +0000,mL/min·kg,55.77,3F0E1A3A-5EF3-482C-9A3A-C4C42A721409,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-12-15 22:04:33 +0000,2022-12-15 22:04:33 +0000,mL/min·kg,56.81,5F886EBB-FDC6-42C5-AFB3-BEC789683A0E,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2022-12-28 21:10:41 +0000,2022-12-28 21:10:41 +0000,mL/min·kg,55.95,548CAD23-4B39-4711-9FE5-D6A73CC04999,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-25 23:44:30 +0000,2023-01-25 23:44:30 +0000,mL/min·kg,54.75,77864444-8A9E-450A-AD30-233787091880,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-27 00:56:20 +0000,2023-01-27 00:56:20 +0000,mL/min·kg,51.2,9173B160-9A49-42FF-A4B0-341EE56FB633,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-27 02:49:25 +0000,2023-01-27 02:49:25 +0000,mL/min·kg,51.21,686CF9F2-23AB-4B73-9CCE-650BD271EAD6,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-28 18:25:56 +0000,2023-01-28 18:25:56 +0000,mL/min·kg,48.95,F28121D8-7A85-4C47-8A44-661D4CD49EEB,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-29 22:51:53 +0000,2023-01-29 22:51:53 +0000,mL/min·kg,48.88,CB89DA1B-9C68-4725-9FBB-6CE4A7F3DE6F,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-31 22:16:13 +0000,2023-01-31 22:16:13 +0000,mL/min·kg,49.04,8846A9FC-D180-4002-BB46-E8F790438FBF,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-31 22:37:48 +0000,2023-01-31 22:37:48 +0000,mL/min·kg,50.48,32C540EF-0668-4EB3-BC1F-F42F92195A7A,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-01-31 22:59:51 +0000,2023-01-31 22:59:51 +0000,mL/min·kg,50.98,E83C1A8A-71B4-40DF-870D-61A2086009C8,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-01 22:33:53 +0000,2023-02-01 22:33:53 +0000,mL/min·kg,50.74,9C918AB9-DDEF-42F0-834F-33F0B7E815AA,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-02 23:42:48 +0000,2023-02-02 23:42:48 +0000,mL/min·kg,50.37,993AB7BD-3F0C-47C8-9570-E7507D8BD0DB,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-03 16:54:36 +0000,2023-02-03 16:54:36 +0000,mL/min·kg,50.26,D7225ADE-37F2-464B-BF77-B738FD9944B9,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-03 22:12:44 +0000,2023-02-03 22:12:44 +0000,mL/min·kg,50.45,9E594C93-0C40-46D9-BD01-1C07185CB4BA,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-04 17:14:03 +0000,2023-02-04 17:14:03 +0000,mL/min·kg,50.67,F93D4CF4-7644-431A-9FE3-8D0C4AA059C3,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-08 23:01:28 +0000,2023-02-08 23:01:28 +0000,mL/min·kg,50.43,88E9B39B-4372-4577-9402-12D3C95A7A58,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-18 20:08:01 +0000,2023-02-18 20:08:01 +0000,mL/min·kg,50.26,2E8324C1-960D-4005-8DA0-96EC52083A5C,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-18 20:38:20 +0000,2023-02-18 20:38:20 +0000,mL/min·kg,50.95,412046E8-6197-4963-9662-2C49236116A5,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-02-25 16:03:43 +0000,2023-02-25 16:03:43 +0000,mL/min·kg,51.59,F5B3831C-7082-40AB-8ED7-125F3A7FA137,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-02 21:37:46 +0000,2023-03-02 21:37:46 +0000,mL/min·kg,52.09,0DBC21DE-4626-4CC9-9DA0-CDC9AB42BA56,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-11 17:46:12 +0000,2023-03-11 17:46:12 +0000,mL/min·kg,51.85,93A4CE1B-279C-47E5-8AF5-FEB77A6C2537,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-12 20:20:16 +0000,2023-03-12 20:20:16 +0000,mL/min·kg,52.0,36EA90B6-12EC-4560-B8B6-3DE74ED95B29,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-16 21:36:07 +0000,2023-03-16 21:36:07 +0000,mL/min·kg,52.25,AAC9B5A9-BDE1-4CE5-A1D2-56442B44D839,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-21 16:40:42 +0000,2023-03-21 16:40:42 +0000,mL/min·kg,52.58,90C5BDBF-7B82-462B-9230-22B8C3A24F11,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-03-26 21:40:39 +0000,2023-03-26 21:40:39 +0000,mL/min·kg,52.94,CC6BE146-E63A-4538-9E2E-EAA3C5B2AF56,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-04-09 22:36:38 +0000,2023-04-09 22:36:38 +0000,mL/min·kg,52.46,BBB973CF-F006-4B18-B639-0B4ADD8752F4,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-04-24 20:43:22 +0000,2023-04-24 20:43:22 +0000,mL/min·kg,51.58,AE8FD687-88D7-4B40-A88A-0F6D5FAAC5FE,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-04-26 21:47:03 +0000,2023-04-26 21:47:03 +0000,mL/min·kg,52.25,6FD21CF4-C32F-42F6-8BB9-E12E9E205069,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-04-29 21:59:30 +0000,2023-04-29 21:59:30 +0000,mL/min·kg,53.8,A75B3DAC-BA58-48FD-AB7F-7CE9885D81B9,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-09 23:11:17 +0000,2023-05-09 23:11:17 +0000,mL/min·kg,53.76,ADD21805-1F6E-4632-B3E6-6C39E5D40EB1,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-11 21:57:49 +0000,2023-05-11 21:57:49 +0000,mL/min·kg,54.17,E03A8516-CBE1-45E8-B569-FFB682867BDC,2,1
