sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-28 21:37:16 +0000,2021-09-28 21:37:19 +0000,mi/hr,1.990873299928418
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 00:00:02 +0000,2021-09-29 00:00:05 +0000,mi/hr,2.3711524695776665
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 20:41:39 +0000,2021-09-29 20:41:49 +0000,mi/hr,3.914638511095204
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 20:42:03 +0000,2021-09-29 20:42:15 +0000,mi/hr,3.758052970651396
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 20:43:15 +0000,2021-09-29 20:43:22 +0000,mi/hr,3.4225125268432355
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 20:45:31 +0000,2021-09-29 20:45:36 +0000,mi/hr,3.89226914817466
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 20:47:33 +0000,2021-09-29 20:47:41 +0000,mi/hr,3.310665712240515
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-29 22:40:44 +0000,2021-09-29 22:40:50 +0000,mi/hr,2.4158911954187547
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 01:38:48 +0000,2021-09-30 01:38:51 +0000,mi/hr,4.205440229062276
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 01:44:53 +0000,2021-09-30 01:44:55 +0000,mi/hr,4.518611309949892
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 01:52:13 +0000,2021-09-30 01:54:02 +0000,mi/hr,3.131710808876163
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 14:58:53 +0000,2021-09-30 14:59:01 +0000,mi/hr,1.7224409448818898
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 20:53:44 +0000,2021-09-30 20:53:49 +0000,mi/hr,1.3197924123120972
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-09-30 20:54:22 +0000,2021-09-30 20:54:25 +0000,mi/hr,2.2369362920544025
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:01:14 +0000,2021-10-01 14:01:17 +0000,mi/hr,3.579098067287044
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:02:35 +0000,2021-10-01 14:02:38 +0000,mi/hr,2.192197566213314
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:03:22 +0000,2021-10-01 14:03:26 +0000,mi/hr,1.94613457408733
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:04:14 +0000,2021-10-01 14:04:16 +0000,mi/hr,2.863278453829635
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:08:08 +0000,2021-10-01 14:08:11 +0000,mi/hr,2.259305654974946
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 14:09:47 +0000,2021-10-01 14:09:50 +0000,mi/hr,1.700071581961346
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 15:29:31 +0000,2021-10-01 15:29:34 +0000,mi/hr,1.700071581961346
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 22:18:05 +0000,2021-10-01 22:18:09 +0000,mi/hr,3.6685755189692197
HKQuantityTypeIdentifierWalkingSpeed,iPhone (91),15.0,"iPhone11,8","<<HKDevice: 0x283cac730>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone11,8, software:15.0>",2021-10-01 23:13:39 +0000,2021-10-01 23:13:49 +0000,mi/hr,2.7514316392269147
