sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKAverageMETs,HKIndoorWorkout,HKWeatherTemperature,HKWeatherHumidity,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-15 01:11:08 +0000,2022-03-15 01:41:59 +0000,Cycling,1850.3218340873718,sec,303.56 kcal,733.558 m,,,America/New_York,8.89223 kcal/hr·kg,0,46.4 degF,5000 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-11-10 22:46:32 +0000,2022-11-10 22:52:01 +0000,Cycling,327.32995104789734,sec,31.3926 kcal,,,,America/New_York,5.84009 kcal/hr·kg,1,64.4 degF,6500 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-24 22:06:10 +0000,2022-12-24 23:06:52 +0000,Cycling,3638.8466839790344,sec,705.796 kcal,,,,America/New_York,10.5506 kcal/hr·kg,1,,,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-26 22:12:57 +0000,2022-12-26 22:34:36 +0000,Cycling,1291.1477009057999,sec,234.528 kcal,,,,America/New_York,9.98447 kcal/hr·kg,1,32 degF,3600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-08 22:57:47 +0000,2023-01-08 23:28:27 +0000,Cycling,1837.3831870555878,sec,386.746 kcal,,,,America/New_York,11.3551 kcal/hr·kg,1,41 degF,6000 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-09 23:45:21 +0000,2023-01-10 00:32:51 +0000,Cycling,2827.785299062729,sec,491.875 kcal,,,,America/New_York,9.60716 kcal/hr·kg,1,42.8 degF,4200 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-11 23:16:00 +0000,2023-01-12 00:01:05 +0000,Cycling,2701.9053210020065,sec,437.59 kcal,,,,America/New_York,9.01567 kcal/hr·kg,1,42.8 degF,6500 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-02-18 01:52:53 +0000,2023-02-18 09:45:48 +0000,Cycling,1994.3920689821243,sec,353.789 kcal,,,,America/New_York,,1,37.4 degF,5000 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-02-18 18:48:33 +0000,2023-02-18 19:34:00 +0000,Cycling,2727.2863739728928,sec,404.178 kcal,,,,America/New_York,8.36686 kcal/hr·kg,1,42.8 degF,3200 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-02-19 18:54:07 +0000,2023-02-19 20:49:43 +0000,Cycling,5988.400583028793,sec,1259.71 kcal,,,,America/New_York,11.3182 kcal/hr·kg,1,53.6 degF,4000 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-02-19 20:49:43 +0000,2023-02-19 21:08:33 +0000,Cycling,1094.2592949867249,sec,213.549 kcal,,,,America/New_York,10.5517 kcal/hr·kg,1,55.4 degF,4000 %,
