sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKWeatherHumidity,HKAverageMETs,HKWeatherTemperature,HKIndoorWorkout,HKTimeZone,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-16 00:52:03 +0000,2022-03-16 01:09:24 +0000,Running,1041.4377720355988,sec,216.82 kcal,3278.05 m,,,3800 %,11.0432 kcal/hr·kg,57.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-03-17 01:15:27 +0000,2022-03-17 01:35:37 +0000,Running,1210.3943730592728,sec,248.658 kcal,3586.12 m,,,4800 %,10.8347 kcal/hr·kg,57.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-05-23 16:02:49 +0000,2022-05-23 16:25:43 +0000,Running,1373.5552040338516,sec,301.2 kcal,4087.82 m,,,4800 %,11.4683 kcal/hr·kg,69.8 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-08 21:20:29 +0000,2022-06-08 21:31:51 +0000,Running,682.1133899688721,sec,124.175 kcal,1917.01 m,,,5200 %,9.95346 kcal/hr·kg,84.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-08 21:32:03 +0000,2022-06-08 21:56:04 +0000,Running,1294.0185779333115,sec,213.762 kcal,2949.85 m,,,5200 %,8.08794 kcal/hr·kg,84.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-08 21:56:34 +0000,2022-06-08 22:20:53 +0000,Running,1455.3322610855103,sec,265.745 kcal,3287.34 m,,,5500 %,9.71085 kcal/hr·kg,82.4 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-08 22:20:53 +0000,2022-06-08 22:31:54 +0000,Running,660.6500589847565,sec,120.988 kcal,1543.22 m,,,5800 %,9.982 kcal/hr·kg,82.4 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-09 19:21:26 +0000,2022-06-09 19:32:49 +0000,Running,682.6398439407349,sec,138.432 kcal,2007.24 m,,,4400 %,10.9401 kcal/hr·kg,77 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-11 23:56:14 +0000,2022-06-12 00:11:36 +0000,Running,922.1259070634842,sec,215.259 kcal,3264.91 m,,,7100 %,12.2756 kcal/hr·kg,69.8 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-06-14 21:02:49 +0000,2022-06-14 21:29:07 +0000,Running,1138.1828809976578,sec,237.754 kcal,3355.94 m,,,6300 %,10.7456 kcal/hr·kg,80.6 degF,0,America/New_York,
